key,scientific_name,species,family,country,year,month,basis_of_record
3217673636,"Zonotrichia leucophrys (J.R.Forster, 1772)",Zonotrichia leucophrys,Passerellidae,United States of America,2022,1,HUMAN_OBSERVATION
3218895649,"Larus occidentalis Audubon, 1839",Larus occidentalis,Laridae,United States of America,2022,1,HUMAN_OBSERVATION
3219216619,"Streptopelia decaocto (Frivaldszky, 1838)",Streptopelia decaocto,Columbidae,United States of America,2022,1,HUMAN_OBSERVATION
3219681579,"Calypte anna (R.Lesson, 1829)",Calypte anna,Trochilidae,United States of America,2022,1,HUMAN_OBSERVATION
3219899666,"Poecile atricapillus (Linnaeus, 1766)",Poecile atricapillus,Paridae,United States of America,2022,1,HUMAN_OBSERVATION
3220488626,"Sturnus vulgaris Linnaeus, 1758",Sturnus vulgaris,Sturnidae,United States of America,2022,1,HUMAN_OBSERVATION
3221178642,"Larus californicus Lawrence, 1854",Larus californicus,Laridae,United States of America,2022,1,HUMAN_OBSERVATION
3221724659,"Passer domesticus (Linnaeus, 1758)",Passer domesticus,Passeridae,United States of America,2022,1,HUMAN_OBSERVATION
3222299627,"Branta hutchinsii (Richardson, 1832)",Branta hutchinsii,Anatidae,United States of America,2022,1,HUMAN_OBSERVATION
3222576710,"Corthylio calendula (Linnaeus, 1766)",Regulus calendula,Regulidae,United States of America,2022,1,HUMAN_OBSERVATION
3223444558,"Sayornis nigricans (Swainson, 1827)",Sayornis nigricans,Tyrannidae,United States of America,2022,1,HUMAN_OBSERVATION
3224669593,"Haemorhous mexicanus (P.L.Statius Müller, 1776)",Haemorhous mexicanus,Fringillidae,United States of America,2022,1,HUMAN_OBSERVATION
3226999593,"Poecile rufescens (J.K.Townsend, 1837)",Poecile rufescens,Paridae,United States of America,2022,1,HUMAN_OBSERVATION
3227143613,"Branta canadensis (Linnaeus, 1758)",Branta canadensis,Anatidae,United States of America,2022,1,HUMAN_OBSERVATION
3228429686,"Turdus migratorius Linnaeus, 1766",Turdus migratorius,Turdidae,United States of America,2022,1,HUMAN_OBSERVATION
3228859640,"Astur Lacepède, 1799",,Accipitridae,United States of America,2022,1,HUMAN_OBSERVATION
3230888625,"Corvus brachyrhynchos C.L.Brehm, 1822",Corvus brachyrhynchos,Corvidae,United States of America,2022,1,HUMAN_OBSERVATION
3238768627,"Corvus corax Linnaeus, 1758",Corvus corax,Corvidae,United States of America,2022,1,HUMAN_OBSERVATION
